is_rumor,thread,in_reply_tweet,event,text,tweet_id,is_source_tweet,in_reply_user,user_id,hashtags_count,retweet_count,favorite_count,mentions_count,user.tweets_count,user.verified,user.followers_count,user.friends_count,hasperiod,number_punct,negativewordcount,positivewordcount,sentimentscore
0,524922078638903296,5.249220786389033e+17,ottawashooting,カナダの戦争記念碑で銃撃。オタワ州警察が確認。 @CBCOttawa Ottawa police are confirming a shooting at the War Memorial. Minutes ago. No other info. #cbcOTT #OTTnews,524925515518312448,0,18999969.0,172292855,2,5,0,1,182117,0,9845,3649,3,5,0,0,0.0625
0,524922078638903296,5.249252975868887e+17,ottawashooting,"@Sebas_Lev @StephBerthomet Apprend à lire, comprend le sarcasme et après tu devrais avoir le droit de m'écrire.",524926041786437633,0,18669387.0,347531577,0,0,0,2,8047,0,178,130,1,4,0,0,0.0
0,524922078638903296,5.2492447199266406e+17,ottawashooting,@en_passant_la @StephBerthomet Parce que tout les journaux et radio ont rependu la nouvelle avant même d'avoir la confirmation des faits.,524926305708802048,0,582603780.0,347531577,0,0,0,2,8047,0,178,130,1,4,0,0,0.0
0,524922078638903296,5.2492630570880205e+17,ottawashooting,"“@RenkoQC: @en_passant_la @StephBerthomet ?.. Mais, tu veux qu'ils attendent la fin ? Des fois, ça peut sauver des vies donner info ?",524926604158726146,0,347531577.0,582603780,0,0,0,3,1191,0,54,97,2,11,0,0,0.0
0,524922078638903296,5.2492660415872614e+17,ottawashooting,"@en_passant_la @StephBerthomet Dans l'état actuel post-Richlieu, ça va juste créé de la panique surtout si c'est pas fonder.",524926875882516481,0,582603780.0,347531577,0,0,0,2,8047,0,178,130,1,7,0,0,0.0
0,524922078638903296,5.249268758825165e+17,ottawashooting,“@RenkoQC: @en_passant_la @StephBerthomet ... Mais comment procèderais tu ?,524927073853665280,0,347531577.0,582603780,0,0,0,3,1191,0,54,97,3,7,0,0,0.0
0,524922078638903296,5.249270738536653e+17,ottawashooting,@en_passant_la @StephBerthomet J'attendrais que ce soit fonder ? Je vit pas ma vie pour des côté d'écoute.,524927514146512896,0,582603780.0,347531577,0,0,0,2,8047,0,178,130,1,6,0,0,0.0
0,524922078638903296,5.249270738536653e+17,ottawashooting,@en_passant_la La peur fait bien souvent beaucoup plus de mal que de potentiels balles. L'humain étant ce qu'il est.,524927971694743552,0,582603780.0,347531577,0,0,0,1,8047,0,178,130,2,6,0,0,0.0
0,524922078638903296,5.249275141465129e+17,ottawashooting,"“@RenkoQC: @en_passant_la @StephBerthomet ?.. Honnêtement, je pense pas qu'un journaliste souhaite amener une fausse info ?",524928067249377280,0,347531577.0,582603780,0,0,0,3,1191,0,54,97,2,9,0,0,0.0
0,524922078638903296,5.249268758825165e+17,ottawashooting,@RenkoQC @en_passant_la c'est confirmé et des journalistes étaient sur place.,524928191627280384,0,347531577.0,1206639234,0,0,0,2,16771,0,3646,2203,1,4,0,0,0.0
0,524922078638903296,5.249280672493773e+17,ottawashooting,@en_passant_la @StephBerthomet Je sais pas pour tout les médias mais @NRJ943Montreal et @tvanouvelles sont les experts du non-fondé.,524928426491535360,0,582603780.0,347531577,0,0,0,4,8047,0,178,131,1,7,0,0,0.0
0,524922078638903296,5.249281916272804e+17,ottawashooting,@StephBerthomet @en_passant_la Sauf que ça c'est retrouver partout bien avant d'être confirmé. Bien triste nouvelle au final.,524928593361915904,0,1206639234.0,347531577,0,0,0,2,8047,0,178,131,2,6,0,0,0.0
0,524922078638903296,5.2492797169474355e+17,ottawashooting,“@RenkoQC ... Auront ils moi s peur quand si c'est fondé ?,524928710265556992,0,347531577.0,582603780,0,0,0,1,1192,0,54,97,3,5,0,0,0.0
0,524922078638903296,5.2492842649153536e+17,ottawashooting,“@RenkoQC  @StephBerthomet .. Si tu savais la pression qu'ils ont parfois d'amener de la viande à tout prix ! (Amener ou emener) Jhais ce mo,524929422873600000,0,347531577.0,582603780,0,0,0,2,1192,0,54,97,2,7,0,0,0.0
0,524922078638903296,5.249294228736e+17,ottawashooting,@en_passant_la @StephBerthomet J'en doute pas et tant mieux ( journalistiquement parlant ) si l'événement rapporter était vrai mais 1/2,524929853184016386,0,582603780.0,347531577,0,0,0,2,8047,0,178,131,0,9,0,0,0.0
0,524922078638903296,5.249294228736e+17,ottawashooting,@en_passant_la @StephBerthomet c'est trop souvent baser sur rien. Comme ce que TVA a rapporter à propos de la prière de la Ronde et qui,524929950676443137,0,582603780.0,347531577,0,0,0,2,8047,0,178,131,1,4,0,0,0.0
0,524922078638903296,5.249294228736e+17,ottawashooting,@en_passant_la @StephBerthomet c'est avérer être un montage de toute pièce par un groupe haineux.,524930003273011200,0,582603780.0,347531577,0,0,0,2,8047,0,178,131,1,4,0,0,0.0
0,524922078638903296,5.249298531840164e+17,ottawashooting,“@RenkoQC: @en_passant_la @StephBerthomet J'en doute pas et tant.. Et ça mène à des distorsion !,524930396635795456,0,347531577.0,582603780,0,0,0,3,1192,0,54,97,2,7,0,0,0.0
0,524922078638903296,5.249281916272804e+17,ottawashooting,“@StephBerthomet: @RenkoQC Ça me rappelle au parlement de Québec 1984,524930934056165376,0,1206639234.0,582603780,0,1,0,2,1192,0,54,97,0,5,0,0,0.0
0,524922078638903296,5.2492797169474355e+17,ottawashooting,@RenkoQC @en_passant_la Et c'est justement pour ça que c'est du terrorisme.,524938677043347457,0,347531577.0,400972999,0,0,0,2,6012,0,249,335,1,5,0,0,0.0
0,524922078638903296,5.2493867704334746e+17,ottawashooting,"@3strokes @en_passant_la Au sens large qu'on donne à ce terme, oui.",524938904596926464,0,400972999.0,347531577,0,0,0,2,8047,0,178,131,1,6,0,0,0.21428571428571427
0,524922078638903296,5.2492842649153536e+17,ottawashooting,"@RenkoQC @en_passant_la @StephBerthomet Si on en parle et qu'il ne se passe rien, tout à coup on est les experts du non-fondé, si on n'en",524944051695783937,0,347531577.0,26088254,0,0,0,3,6377,0,7185,778,0,7,0,0,0.0
0,524922078638903296,5.2492842649153536e+17,ottawashooting,@RenkoQC @en_passant_la @StephBerthomet parle pas et que ça se passe réellement on est à côté de la track... c'est quoi TA formule à toi?,524944183032045568,0,347531577.0,26088254,0,0,0,3,6377,0,7185,778,3,7,0,0,0.0
0,524922078638903296,5.2492842649153536e+17,ottawashooting,"@RenkoQC @en_passant_la @StephBerthomet c'est TELLEMENT facile de jouer les experts si t'as pas à le vivre toi-même au quotidien, buddy.",524944329983684609,0,347531577.0,26088254,0,0,0,3,6377,0,7185,778,1,7,0,0,0.0
0,524922078638903296,5.249441830320456e+17,ottawashooting,@tobiebh @en_passant_la @StephBerthomet Éviter le sensationnalisme et attiser la haine racial et y aller avec des faits ? 1/2,524944374581702657,0,26088254.0,347531577,0,0,0,3,8047,0,178,131,0,6,0,0,0.0
0,524922078638903296,5.249441830320456e+17,ottawashooting,@tobiebh @en_passant_la @StephBerthomet 2/2 va faire un tour sur la page NRJ de Facebook c'est commentaire raciste sur commentaire raciste.,524944461936467968,0,26088254.0,347531577,0,0,0,3,8048,0,178,131,1,7,0,0,0.0
0,524922078638903296,5.24944461936468e+17,ottawashooting,@RenkoQC @en_passant_la @StephBerthomet N'importe quel média qui a 100k+ sur sa page fb va finir par y voir arriver des commentaires,524944711266873345,0,347531577.0,26088254,0,0,0,3,6377,0,7183,778,0,7,0,0,0.0
0,524922078638903296,5.249443299836846e+17,ottawashooting,@tobiebh @en_passant_la @StephBerthomet expert ? Est-ce si dur de devoir attendre qu'un fait soit fonder ? Toujours vouloir le scoop. Buddy.,524944764907823104,0,26088254.0,347531577,0,0,0,3,8048,0,178,131,2,8,0,0,0.0
0,524922078638903296,5.249447649078231e+17,ottawashooting,@RenkoQC @en_passant_la @StephBerthomet De tous les temps tous les médias ont toujours utilisé le conditionnel tant que ça n'est pas con-,524944953085263872,0,347531577.0,26088254,0,0,0,3,6377,0,7183,778,0,4,0,0,0.0
0,524922078638903296,5.249447649078231e+17,ottawashooting,"@RenkoQC firmé. Si les gens ne font pas la distinction dans leurs temps de verbe, je vois pas ce qu'on peut faire.",524945073323397120,0,347531577.0,26088254,0,0,0,1,6377,0,7183,778,2,4,0,0,-0.2
0,524922078638903296,5.249450733233971e+17,ottawashooting,"@tobiebh C'est encore une fois de vouloir le scoop. C'est probablement une question de rentabilité, je ne gère pas NRJ ni TVA. Je doute 1/2",524945699734290432,0,26088254.0,347531577,0,0,0,1,8048,0,178,131,2,8,0,0,0.0
0,524922078638903296,5.249447649078231e+17,ottawashooting,@RenkoQC J'ai fait le tour des principaux médias et je suis curieux de savoir quelle info fallacieuse on donne de plus? Hormis les com-,524945718969380864,0,347531577.0,26088254,0,0,0,1,6377,0,7183,778,0,3,0,0,0.0
0,524922078638903296,5.249456997342904e+17,ottawashooting,@RenkoQC mentaires auxquels tu fais allusion et sur lesquels on n'a ultimement aucun contrôle,524945871499452417,0,347531577.0,26088254,0,0,0,1,6377,0,7183,778,0,1,0,0,0.0
0,524922078638903296,5.249450733233971e+17,ottawashooting,"@tobiebh 2/2 que ma ""formule"" serait rentable mais aurait au moins l'intérêt de ne pas vouloir créer des mouvements de panique sv infondée.",524945922758049794,0,26088254.0,347531577,0,0,0,1,8048,0,178,131,1,7,0,0,0.0
0,524922078638903296,5.249456997342904e+17,ottawashooting,"@RenkoQC fais-moi une liste des informations erronées qui ont été communiquées par nous et pas par les autres stp.
Après on jasera",524946043340091392,0,347531577.0,26088254,0,0,0,1,6377,0,7183,778,1,2,0,0,0.0
0,524922078638903296,5.249450733233971e+17,ottawashooting,"@tobiebh @RenkoQC   Et voilà.... Et il faut arrêter de chercher des dieux à tout prix ! L,erreur est humaine et ils sont aussi humain !",524946049035927552,0,26088254.0,582603780,0,0,0,2,1192,0,54,97,4,7,0,0,0.0
0,524922078638903296,5.249460433400914e+17,ottawashooting,"@tobiebh Donc parce que tout le monde le fait, c'est correct ? C'est la norme ?",524946201314361344,0,26088254.0,347531577,0,0,0,1,8048,0,178,131,0,5,0,1,0.0
0,524922078638903296,5.249460433400914e+17,ottawashooting,"@tobiebh J'ai pas dit que vous étiez les pire, 130 caractère laisse pas assez de place pour citer toute la crap journalistique du QC.",524947314390343680,0,26088254.0,347531577,0,0,0,1,8048,0,178,131,1,6,0,0,-0.8
0,524922078638903296,5.249473143903437e+17,ottawashooting,"@RenkoQC bien d'accord! Trop court pour expliquer un point comme l'autre. Mais tsé tu nous nommes, normal que je réponde ;)",524951123535597568,0,347531577.0,26088254,0,0,0,1,6377,0,7182,778,1,7,0,0,0.2
0,524922078638903296,5.249511235355976e+17,ottawashooting,"@tobiebh J'aurais du aussi faire une distinction entre votre radio et votre Facebook, mon propos aurait sûrement sembler moins agressif :/",524951498367963138,0,26088254.0,347531577,0,0,0,1,8048,0,178,131,0,4,0,0,-0.25
0,524922078638903296,5.2495149836796314e+17,ottawashooting,"@RenkoQC T'inquiète, dans la vie j'aime beaucoup argumenter. C'est jamais de la chicane mais plutôt de la simple opposition de points de",524954276389736449,0,347531577.0,26088254,0,0,0,1,6377,0,7182,778,1,5,0,0,0.0
0,524922499466022913,,ottawashooting,Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http://t.co/mskjnJAlvE,524922499466022913,1,,18999969,2,165,18,0,38159,0,60089,296,3,10,0,0,-0.07500000000000001
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa @CBCNews how horrible!!!,524922962240344064,0,18999969.0,570951676,0,0,0,2,5794,0,849,2001,0,3,0,0,-1.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa @CBCNews What a unclassy photo. It could be your mom. booo Show some discretion.,524923210220195840,0,18999969.0,95660747,0,0,0,2,105447,0,4379,4793,3,3,0,0,0.0
0,524922499466022913,5.2492296224034406e+17,ottawashooting,“@LisaRachel123: @CBCOttawa @CBCNews how horrible!!!” Shit..!!,524923454169313281,0,570951676.0,34249104,0,0,0,3,3188,0,207,389,2,11,0,0,-0.65625
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa http://t.co/OSehwkVhvx,524923742183776256,0,18999969.0,2442974962,0,0,0,1,1533,0,191,1190,1,5,0,0,0.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa @CBCNews shooting is horrible,524924255712976896,0,18999969.0,2329265754,0,0,0,2,17,0,11,62,0,0,0,0,-1.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa Did anybody manage to nail the shooter?,524924668642623488,0,18999969.0,1553692321,0,0,0,1,789,0,72,132,0,1,0,0,0.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa @CBCNews Please contact CJAD Amanda Kline (514) 207-2173,524925462053920768,0,18999969.0,2833993809,0,0,0,2,19,0,1,49,0,13,0,0,0.0
0,524922499466022913,5.249234541693133e+17,ottawashooting,.@Marcusl230 @CBCOttawa @CBCNews Scary!!,524927734460743681,0,34249104.0,570951676,0,0,0,3,5794,0,849,2001,1,6,0,0,-0.78125
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa @CBCNews .... Terrible news to hear of a solider injured on Canadian soil - thoughts and prayers,524931244497199105,0,18999969.0,1457101706,0,0,0,2,26,0,21,133,4,5,0,0,-1.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,“@CBCOttawa:Passersby working on#shooting#victim From CBC's Jason Ho#cbcOTT #OTTnews http://t.co/rN2peA1siF” #Ontario #Canada #veteran #pray,524932094263566336,0,18999969.0,2401156465,5,0,0,1,26897,0,1191,1961,1,17,0,0,0.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,“@CBCOttawa: Passersby working on shooting victim. From the CBC's Jason Ho. #cbcOTT #OTTnews http://t.co/QlR06BFyCD” @KayBurley,524935498150977536,0,18999969.0,361107131,2,0,0,2,4089,0,39,122,3,13,0,0,-0.07500000000000001
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa,524938098132934656,0,18999969.0,180818052,0,0,0,1,1873,0,19,51,0,0,0,0,0.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa,524938545916809216,0,18999969.0,1328299010,0,0,0,1,2,0,12,20,0,0,0,0,0.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa God save the soldier!,524940410754715649,0,18999969.0,1894234825,0,0,0,1,54,0,19,328,0,1,0,0,0.0
0,524922499466022913,5.249224994660229e+17,ottawashooting,@CBCOttawa very sad. Makes me wonder where this world is coming to. Prayers to all involved.,524978070986690560,0,18999969.0,519919670,0,0,0,1,5806,0,239,1350,3,3,1,0,-0.65
0,524923148576518144,,ottawashooting,Shooting at the war memorial in Ottawa. http://t.co/1Z0p4Mj5Vw,524923148576518144,1,,81122301,0,306,30,0,5184,1,21413,461,2,10,0,0,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,.@IvisonJ Is this a different one from the shooting at the Centre Block?,524923299118080000,0,81122301.0,40906602,0,0,0,1,7338,1,2851,1996,1,2,0,0,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,"@IvisonJ @shanedingman Quit posting photos that don't need to show. Use your head, not sensationalism in the name of privacy.",524923781421490176,0,81122301.0,95660747,0,0,6,2,105502,0,4384,4794,2,4,0,0,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,@IvisonJ @PoliticoVoice Arrest Islamists BEFORE they murder more Canadians.  Change the immigration policies that let them into the country!,524924443702087680,0,81122301.0,1852665702,0,4,4,2,3184,0,135,362,1,2,0,0,0.2875
0,524923148576518144,5.2492314857651814e+17,ottawashooting,@IvisonJ @MartinLahaie Is the man OK?  :(,524924599570821121,0,81122301.0,78898625,0,0,0,2,403139,0,2933,2817,0,3,0,0,-0.125
0,524923148576518144,5.2492314857651814e+17,ottawashooting,"@IvisonJ This is a time of war, this is no joke.  Get real and fight for yourselves!  If you don't, no one else will!",524924628528279553,0,81122301.0,1852665702,0,2,1,1,3184,0,135,362,1,6,0,0,0.3125
0,524923148576518144,5.2492314857651814e+17,ottawashooting,@IvisonJ @nationalpost Please contact CJAD Amanda Kline (514) 207-2173,524924775245029376,0,81122301.0,2833993809,0,0,0,2,19,0,1,49,0,13,0,0,0.0
0,524923148576518144,5.249244437020877e+17,ottawashooting,"@ivoirien_com @IvisonJ @PoliticoVoice For the Canadian ones, give them back their passports and send them to Middle East forever.",524924784166326272,0,1852665702.0,78898625,0,0,0,3,403139,0,2933,2817,1,3,0,0,0.0
0,524923148576518144,5.249245995708211e+17,ottawashooting,@7PinkPanther7 @IvisonJ what I read no. Could be shot to death...,524924921051611136,0,78898625.0,183696544,0,1,0,2,24441,0,533,799,4,6,0,0,0.0
0,524923148576518144,5.2492492105161114e+17,ottawashooting,@MartinLahaie @IvisonJ Il en aurait tiré 2 maintenant et serait au large...,524925236803031040,0,183696544.0,78898625,0,0,0,2,403140,0,2933,2817,3,4,0,0,0.21428571428571427
0,524923148576518144,5.2492314857651814e+17,ottawashooting,@IvisonJ @nationalpost hope they recover,524925625090707456,0,81122301.0,893509903,0,0,0,2,2140,0,32,59,0,0,0,1,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,"@IvisonJ Hello I work at a London newspaper, The Independent (@independent) - can we use this image please?",524925726743859203,0,81122301.0,7345022,0,0,1,2,493,1,889,460,0,5,0,0,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,"@IvisonJ Hi John, could we use your pictures in the Independent online please?",524925739200942081,0,81122301.0,271500010,0,0,0,1,5817,0,653,897,0,2,0,0,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,.@IvisonJ @captainjuggy SHOOTING at the WAR MEMORIAL in Ottawa... Not the best words to use in this case... :p,524925930176008192,0,81122301.0,1347298490,0,0,0,2,5954,0,1173,1168,7,8,0,0,0.875
0,524923148576518144,5.2492314857651814e+17,ottawashooting,"@IvisonJ John, Did you shoot this? Can The Canadian Press use this image? Please contact us 416-507-2169",524926543223463936,0,81122301.0,61528131,0,0,1,1,2278,1,708,337,0,15,0,0,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,"@IvisonJ @nationalpost very sad, another victim of #PTSD ? @rcmpgrcpolice @CanadianArmy @VeteransENG_CA need to do more",524926697586839552,0,81122301.0,59342468,1,0,0,5,2732,0,470,1243,0,4,1,0,-0.07500000000000002
0,524923148576518144,5.2492314857651814e+17,ottawashooting,"3x raden wie daar nu is ""@IvisonJ: Shooting at the war memorial in Ottawa. http://t.co/WK9XOoDiPk""",524926881863581696,0,81122301.0,259347018,0,0,0,1,12545,0,127,279,2,11,0,0,0.0
0,524923148576518144,5.2492314857651814e+17,ottawashooting,@IvisonJ Did you take this photo? Would the New York Daily News be able to use it with credit?,524928411471724545,0,81122301.0,382300412,0,0,0,1,746,1,451,550,0,2,0,0,0.21212121212121213
0,524923148576518144,5.249244437020877e+17,ottawashooting,@ivoirien_com @IvisonJ @PoliticoVoice Let us not forget we believe in the rule of law. Innocent until proven guilty.,525045735247450114,0,1852665702.0,34034518,0,0,0,3,247,0,26,29,2,3,0,0,0.0
0,524923148576518144,5.250457352474501e+17,ottawashooting,"@tuga_2 @IvisonJ @PoliticoVoice In EVERY war, traitors are HANGED by the neck until dead. Don't be an idiot. http://t.co/NUd4EXxrTY",525094168071503872,0,34034518.0,1852665702,0,0,0,3,3195,0,137,364,3,12,0,0,-0.5
0,524923148576518144,5.250941680715039e+17,ottawashooting,@ivoirien_com @IvisonJ @PoliticoVoice I'm an idiot because I believe the founding principles of this nation like law and order and the BoR,525094853802475520,0,1852665702.0,34034518,0,0,0,3,247,0,26,29,0,2,0,1,-0.8
0,524923148576518144,5.250948538024755e+17,ottawashooting,"@tuga_2 @IvisonJ @PoliticoVoice You're an idiot because you don't understand that traitors must always be hanged, in every war.",525098237544628224,0,34034518.0,1852665702,0,0,0,3,3195,0,137,364,1,6,0,0,-0.8
0,524923148576518144,5.250982375446282e+17,ottawashooting,@ivoirien_com @IvisonJ @PoliticoVoice is that why you want preemptively arrest all islamists? Do you belive they are all traitors?,525150611575406593,0,1852665702.0,34034518,0,0,1,3,247,0,26,29,0,3,0,0,-0.05
0,524923403183333376,,ottawashooting,After today we will officially be done shooting for the #SurrenderMusicVideo !! It's looking AMAZING so far btw! #cantwait,524923403183333376,1,,150425432,2,5814,6090,0,16442,0,1110815,42070,0,6,0,1,0.36250000000000004
0,524923403183333376,5.249234031833334e+17,ottawashooting,ILY ❤️🙊@juliancamarena,524923684222672896,0,150425432.0,2722800549,0,0,0,1,9971,0,1656,1999,0,0,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena how exciting! I can not wait to see it! 💙😉,524923817538617344,0,150425432.0,1209818718,0,0,0,1,1248,0,287,374,0,2,0,0,0.46875
0,524923403183333376,5.249234031833334e+17,ottawashooting,"@juliancamarena #SurrenderMusicVideo #cantwait long time im not tweet u, I cant wait surrender MV.",524923841307766784,0,150425432.0,1925658710,2,0,0,1,31016,0,3943,1314,1,4,0,0,-0.05
0,524923403183333376,5.249234031833334e+17,ottawashooting,"@juliancamarena I'm so looking forward to seeing, hearing this! #patients #sentTEXASstyle",524930435583721472,0,150425432.0,2213320898,2,0,0,1,23,0,29,182,0,5,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena @AniyahMchenry Please vote for Justin Bieber http://t.co/WEumSyaRQ6 thank u,524931601835515904,0,150425432.0,2242248227,0,0,0,2,233,0,61,309,1,6,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,"@juliancamarena 
O:-)Hermoso vid muaaa",524933001420242944,0,150425432.0,2772363315,0,0,0,1,4,0,6,8,0,3,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena @PerlDobens soo cool for you...,524935635082420224,0,150425432.0,2715996687,0,0,0,2,42,0,13,61,3,3,0,0,0.35
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena @SadieHewitt13 hv a wonderful time,524936493551218688,0,150425432.0,2707019432,0,0,0,2,9,0,2,19,0,2,0,0,1.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena u have an amazing voice I really enjoy ur music,524940113399537664,0,150425432.0,2760799271,0,0,0,1,2,0,5,27,0,0,0,1,0.5
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena Nice one,524944913830408192,0,150425432.0,2828101838,0,0,0,1,10,0,7,64,0,0,0,0,0.6
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena best of luck,524949118708228096,0,150425432.0,2423766997,0,0,0,1,42,0,19,164,0,0,0,0,1.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena sorry... what was you telling me I deleted messages accident,524951037632081920,0,150425432.0,2744343637,0,0,0,1,292,0,50,277,3,3,0,0,-0.5
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena I can't wait to see it go get it tiger,524951207094534144,0,150425432.0,2729484891,0,0,0,1,95,0,23,120,0,1,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena @StellaBrenton,524957525666713600,0,150425432.0,2568927756,0,0,0,2,9,0,6,116,0,0,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena PLEASE FOLLOW ME:IM NOT A HUGE FAN BUT U SO CUTE♡...plz follow..,524976863664693248,0,150425432.0,2834184731,0,0,0,1,244,0,268,1191,5,6,0,0,-0.20000000000000004
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena.verygood..kkk,524982594417750016,0,150425432.0,2555195804,0,0,0,1,426,0,23,101,3,3,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena @NataliaWhitsonf,524984893265432577,0,150425432.0,2795347011,0,0,0,2,6,0,2,18,0,0,0,0,0.0
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena ok,524990042444685313,0,150425432.0,2764970068,0,0,0,1,32,0,10,48,0,0,0,0,0.5
0,524923403183333376,5.249234031833334e+17,ottawashooting,@juliancamarena @Faithgrubbs01 hi faith,524997177660411904,0,150425432.0,2249570596,0,0,0,2,1305,0,78,287,0,2,0,0,0.0
0,524924660480487424,,ottawashooting,"KEY: Nothing in Wilson's story in new autopsy says he feared for his life or life of another, which is only legal justification for shooting",524924660480487424,1,,15996661,0,168,59,0,14378,0,34165,247,0,3,0,0,0.08409090909090909
0,524924660480487424,5.249246604804874e+17,ottawashooting,@LisaBloom it doesn't even say why Brown was stopped,524925009324560384,0,15996661.0,83678564,0,0,0,1,14219,0,287,756,0,1,0,0,0.0
0,524924660480487424,5.249246604804874e+17,ottawashooting,"@LisaBloom Not only that, explain how a holstered side arm is fought for when the person w the gun is seated in a car, an SUV at that??",524925461546401794,0,15996661.0,19464711,0,0,0,1,9985,0,180,215,0,4,0,0,0.0
0,524924660480487424,5.249246604804874e+17,ottawashooting,@LisaBloom @rolandsmartin oh please.,524925681264627712,0,15996661.0,80039905,0,0,0,2,7706,0,4660,838,1,1,0,0,0.0
